,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
60,1961.0,4.284121230581777,7.242922137404602,9.753771742447348,12.253798441768694,15.552288324873038,19.13211548236244,20.086904154332895,19.7643336084176,17.169976960938328,13.3159244680851,8.435927537808727,4.934478563151807
61,1962.0,4.649812875012726,6.835872379778036,8.155152675706422,13.158937797065482,16.54381183017305,18.565107438016472,19.884388369678128,19.841176408746776,17.067410477101184,13.912852040264113,9.186449042823918,5.402338024892408
62,1963.0,4.2147000550357525,6.899601388422359,10.636677524429917,13.859426349599893,16.84340719910019,19.173957700528746,20.461199728874764,20.008065914015244,18.10142824047256,15.0893282876064,10.845132839985443,5.407030972327982
63,1964.0,4.161192377495478,4.975867175856914,7.942191640231384,12.651506938623466,16.351832303949088,18.600608361454796,20.227850889579276,18.934542002847618,16.5092078446452,12.39876723042329,8.748596897663154,5.30707490314247
